No.	English	La Chí Bản Phùng	La Chí Bản Díu	Nùng Dín	Vietnamese
1	sun	βa33 	thaŋ323 vɑ̆n33 	thaŋ323 văn33 	mặt trời
2	moon	m̥33 la33	ăn33 haj323	haj323	mặt trăng
3	star	m̥33 thi44 li33	ʔɗaw33 Ɂɗi21	ʔɗaw33 Ɂɗi21	sao
4	earth	ʔu33	nam33	nam31	đất
5	cloud	m̥33 qɛ44 hu11	năm35 mɔ21	pha45	mây
6	rain	ɲã33	phăn35 lɔ̆ŋ33	phăn33 	mưa
7	water	ʔi33	năm45	năm45	nước 
8	mountain	kũŋ53 ɕo33	ăn35 po35	po33 pha323	núi
9	rock	ni11/33	măk21 pa35	mak21 pa323	đá
10	sand	ɲã44	saj33	saj33	cát
11	road/way	qhi44/khi44	kha35 lo33	lo31	đường (đi)
12	fire	pe33	făj33	făj33	lửa
13	smoke	kăm33 pe33	zăj33	zaj33 făj31	khói
14	ash	te33	tăw31	tăw31	tro
15	night	ni11 βɔ44	chaŋ35 hɯŋ33	hăm31	đêm
16	tree	mjã11  te33	măj23	măj45	cây
17	seed	pjɔ44	huj21	huj21	hạt
18	leaf	lɤi44/ lɨ44	ʔɓɤ̆ŋ43 măj35	ʔɓɤ̆ɯ323	lá
19	root	ka33 ɕi44	lak35	lak21	rễ
20	bark	ka33 tu44	năŋ35 mɑ̆j44	năŋ35 măj44	vỏ (cây)
21	dog	mã41	ti21 ma35	ma323	chó
22	bird	ʔa33 nɔ55ʔ	ti21 nɔ̆k45	nɔ̆k33	chim
23	fish	ʔɑ44 li33	ti21 pa35	pɑ323	cá
24	louse 	te44	ti323 măn33	thăw33	chấy
25	claw	lɛ33 m̥55	lɛp45	lɛp45	móng 
26	horn	qɛ44	khăw323	khăw323	sừng
27	leather	mɛ̃55 mɛ55ʔ	khɔn21 nɔ̆k35	khɔn21	lông
28	tail	ɸɛ55ʔ	thaŋ323	thaŋ323	đuôi
29	egg	tã55ʔ	ăn33 saj31	saj31	trứng
30	head	năŋ53 kha545	păk41 thu33	thu323	đầu
31	hair	kha545 cɔ55ʔ	khɔ̆n323 thu323	khɔ̆n323 thu323	tóc
32	eye	năm53 tju33	luk35 tha323	tha323	mắt
33	nose	ɲa55ʔ	ăn33 ʔɗăŋ323	ʔɗăŋ323	mũi
34	mouth	m̥33 khɔ33	cɯm41 pak21	pak21	mồm/miệng
35	tooth 	ɸi44	măk35 făn33	măk35 făn33	răng
36	tongue 	m̥33 ljɔ33	măk21 lin45	lin45	lưỡi
37	ear 	lu33	bɤ33 siw21   	su323	tai
38	neck 	ka44 tu33 zu55ʔ	ho33	kɔk45 ho33	cổ
39	hand	m̥55	mŭŋ33	mŭŋ33	tay
40	chest	ta21 phũ53	păk212 Ɂăk45	ʔăk45	ngực
41	foot	lɛ53	pha33 kha45	kha323	bàn chân
42	knee	kan55 thjɔ11 thju11	kha35 khɤ̆w21	thu33 khăw21	đầu gối
43	stomach	ma53 nũ11 khɔ33	măk11 toːŋ45	toŋ45	bụng
44	liver	ta55ʔ	tăp45	tăp45	gan
45	heart	năm53 le53	măk323 thɯ33 cɯ33	mak21 thɯ33 cɤ̆ɯ33	tim
46	blood 	pju33	lɯt212	lɯt212	máu
47	skin 	ka33 tu33	năŋ35 nɯ33	năŋ323	da
48	bone 	kăn53 thɔ55ʔ	ʔɗŭk45	ʔɗŭk45	xương
49	meat	ʔɔ53	nɯ45	nɯ45	thịt
50	fat 	m̥33 na44	ziw33	zu33	mỡ
51	human	qo11	ti323 kɔ̆n33	kɔ̆n33	người
52	name	ka55 nĩ33	cɯ31	cɯ31	tên
53	man 	nĩ33 mjã11	phɯ21 caj33	phu31 caj33	đàn ông
54	woman 	nĩ33 mjã11	phɯ21 ŋiŋ33	phu31 ɲĭŋ33	đàn bà
55	new	la33 m̥55ʔ	mɯ21	măɯ31	mới
56	good	ka33 la44	dăj323	caj31/ dăj323	tốt
57	big/ huge	mĩ545	tɯ45	tɯ45	to/lớn
58	small/ tiny 	tɛn21 tɛ35	ʔe45	ʔe45	nhỏ/bé
59	red 	pu53 thjɔ53	ʔɗeŋ323	ʔɗeŋ323	đỏ
60	black 	năm545 lja55	ʔɗăm33	ʔɗăm33	đen
61	white 	ci545 ʔi33	khaw323	khaw323	trắng
62	blue/ green 	na545 mɨ55	moŋ35	siw323	xanh
63	yellow 	nf545 nɨ55	hen21	hen21	vàng
64	long	βe53 βɛ55ʔ	li33	ri33	dài
65	many	ma545	laj323	laj323	nhiều
66	round	thiɲ545 le11	măn33	măn33	tròn
67	hot 	ʔăm44 lu55ʔ	dat212	dat212	nóng
68	cold 	săm53 se53	sit45	kɔ̆ŋ33	lạnh
69	full	m̥53 ti33	tɛm35	tăm323	đầy
70	dry	qa44	khɯ21	khăɯ21	khô
71	go/move	βu53	păj323	păj323	đi
72	come	qo33	ma33	thăŋ323	đến
73	burn	pɛ33 pjɛ53	o21	o21	cháy
74	fly	ni1  pɔ55ʔ	ʔɓăn323	Ɂɓăn323	bay
75	stand	sɔ33	ʔin35	zin323	đứng
76	swim	phu44 ʔi33	săw323 năm45	săw323	bơi
77	kill	pi53	kha33	kha33	giết (gà)
78	sit	ka55 ki11	năŋ31	năŋ31	ngồi
79	hear 	ʑɔ55ʔ	pak45	pak45	nghe
80	talk 	th ɛ55ʔ	ha45	ha45	nói
81	look at	le53	ŋaŋ31	ŋaŋ31	nhìn
82	lie 	βũ11	năm21	non33	nằm
83	sleep	βɨ11	nɔn33	non33	ngủ
84	know	ɕo44/ su44	lu45	ru33	biết
85	eat 	pu33 mi11	cin23	cin323	ăn
86	drink 	ko44	cĭn323	cĭn323 cĭn323	uống
87	bite	tja33	khăp35	khăp35	cắn
88	die	pɛ̃53	thaj323	thaj323	chết
89	give	nɨ55ʔ	ha33 ʔɯ323	hɤ̆ɯ21 / hăɯ21	cho 
90	one 	căm33/ ca  m̥	Ɂɗew33	Ɂɗew33	một
91	two	ɸu44	θõ35	ɬoŋ33	hai
92	all 	to33 mjã33	tɯŋ33 le43	tɯŋ33 le43	tất cả
93	what 	kɛ44 ʔa44	kăŋ212	ka31 răŋ33	gì, cái gì
94	who 	kɛ55 nɔ53 kɛ55 ʔa33	kɯŋ33	kɔn33/ răɯ33	ai
95	no 	ljo55ˀ	Ɂɓo31	Ɂɓo31	không
96	here 	nɤ53	ne43	năj31	này
97	that	kăj323	paj33	ɯ̆m45	kia
98	I 	ʔa33 kh u44	ku44	khɔj21	tao/tôi
99	you 	ʔa33  bɛ33	mɯ33	măɯ33	mày
100	we	ʔa33  tɛ33	lɤ̆w33	lɤ̆w33	chúng ta
